Producers,Headquarters,Value chain,Website,Species,Production process,Industry (Applications),Industry subsector tags,Investors,Association focus,Founding year,Start-up/scale-up?,Total disclosed investments since 2020,Development stage
Sea Forest Foundation,Australia,Conservation & restoration,https://www.seaforestfoundation.com.au/,,,,,,,,,$0,
Sea Forest Macro Algae,Canada,"Farming & harvesting,Applications",https://seaforest.ca/,,Aquaculture,Food,Snacks and seasoning,,,,,$0,
Sea Green,Singapore,Monitoring tech & software,https://www.sea.green/,,,,,Bright Tide Ocean/Blue Carbon Accelerator,,2021,checked,$0,Pilot / Demonstration
Sea Greens Farms (failed),USA,"Distribution,Breeding & propagation",,,,,,Industry Capital,,2016,checked,$0,Failed / Zombie
Sea Harvest Group (Viking Aquaculture),South Africa,Farming & harvesting,https://www.seaharvestgroup.co.za/,"Ulva sp.,Gracilaria sp.","Aquaculture,IMTA,Onshore",Feed,,,,,,$0,
Sea Health Products,Australia,"Farming & harvesting,Applications",https://www.seahealthproducts.com.au/,Ecklonia radiata,"Wild harvesting,Aquaculture",Food,,Green Light,,2017,,$0,
Sea Monsters,USA,Applications,https://seamonsters.co/,,,Food,Snacks and seasoning,,,2021,,$0,
Sea Nest,New Zealand,Conservation & restoration,https://www.seanest.co.nz/,,,,,,,2024,,$0,
Sea Nymph,Ireland,"Farming & harvesting,Applications",http://www.sea-nymph-ireland.com/,,Wild harvesting,Plant & soil nutrition,,,,,,$0,
Sea Plants Solutions,USA,Infrastructure & equipment,https://www.linkedin.com/in/tim-visi-9a682032/,,"Aquaculture,Onshore",,,,,2012,,$0,
Sea Power,Tanzania,Infrastructure & equipment,https://panorama.solutions/en/solution/sea-power-innovative-seaweed-farming-technology-empower-women,,,,,,,,,$0,
Sea Quester Farms ,USA,"Applications,Farming & harvesting",https://www.seaquesterfarms.com/,"Saccharina latissima,Nereocystis luetkeana","Nearshore,Aquaculture",Food,Meat substitute,,,2022,,$0,
Sea Trees,USA,Conservation & restoration,https://seatrees.org/,,,,,,,,,$0,
Sea Vegetable Company,Japan,"Infrastructure & equipment,Farming & harvesting",https://seaveges.com/,,"Aquaculture,Onshore",,,,,2016,checked,$0,Scale-up / Industrialisation
Sea-mer,France,Applications,https://www.sea-mer.fr/,,,Personal care,,,,,,$0,
Sea‐Pür,Canada,"Applications,Farming & harvesting",https://seapur.ca/,"Laminaria sp.,Fucus vesiculosus,Furcellaria lumbricalis,Chondrus crispus",Wild harvesting,Plant & soil nutrition,,,,2017,,$0,
Sea.D,South Korea,Applications,https://welovesead.modoo.at/,"Saccharina japonica,Sargassum fusiforme",,Food,,,,,,$0,
Sea2life,USA,Distribution,https://www.sea2life.com/,,,,,,,,,$0,
Sea4Earth,France,Applications,https://www.sea4earth.com/,,Aquaculture,Food,,,,2022,,$0,
Sea4Us,Portugal,"Research,Applications",https://sea4us.pt/,,,Pharmaceuticals,,Blue Bio Value,,2013,checked,$0,Research / product development
Sea6 Energy,India,"Farming & harvesting,Applications,Infrastructure & equipment,Processing",https://www.sea6energy.com/,,Aquaculture,"Plant & soil nutrition,Bioplastics / biomaterials,Energy,Feed","Biorefinery,Aquafeed","AquaSpark,Silverstrand Capital,Tata Capital,BASF Venture Capital,Potato Impact Partners",,2010,checked,"$27,500,000",Validation / Traction
Seabed Innovation,Norway,Farming & harvesting,https://www.seabedinnovation.no/,,,Food,Urchin removal,,,2020,checked,$0,Research / product development
Seabiosis,Canada,"Applications,Farming & harvesting",https://seabiosis.com/,Saccharina latissima,Aquaculture,Food,,,,2016,,$0,
Seabloom,UK,Applications,https://www.seabloomfood.com/,,,Food,Seafood substitute,,,2020,checked,$0,Validation / Traction
Seabody (Nutramara),Ireland,"Applications,Farming & harvesting",https://seabody.com/,"Fucus vesiculosus,Ascophyllum nodosum,Saccharina latissima",Wild harvesting,"Personal care,Nutraceuticals,Feed,Pharmaceuticals","Fucoidans,Pet food",,,2017,checked,$0,Validation / Traction
SeaBox,Indonesia,Infrastructure & equipment,https://www.linkedin.com/in/charlottebjoernhansen/,,,,,,,2024,,$0,Research / product development
SeaChange Biochemistry,Canada,Processing,https://seachangebiochemistry.com/,,,"Nutraceuticals,Hydrocolloids","Biorefinery,Alginate,Fucoidans",Ocean Startup Challenge,,2020,checked,$0,Pilot / Demonstration
Seacork Studio,Canada,Applications,https://www.seacorkstudio.com/,,,Construction,,Ocean Startup Challenge,,2024,checked,$0,Pilot / Demonstration
SeaCrest,Philippines,Applications,https://seacrest-inc.com/,,,"Nutraceuticals,Personal care",,,,2024,,$0,
SEADLING,Malaysia,"Breeding & propagation,Lab analysis,Applications,Farming & harvesting",https://www.seadling.com/,Kappaphycus alvarezii,Aquaculture,Feed,Pet food,"GROW,Conservation International Ventures,Space-F,Agfunder,Katapult Ocean,The Yield Lab Asia Pacific,Kul Loesningar 3,Toyo Seikan Group",,2018,checked,"$2,000,000",Validation / Traction
Seadyes,UK,Applications,https://www.seadyes.com/,,,"""Pigments, inks, dyes, coatings""",,Blue Bio Value,,2024,checked,$0,Research / product development
SeaExpert Azores,Portugal,"Consulting,Farming & harvesting",https://seaexpert-azores.com/,"Asparagopsis armata,Asparagopsis taxiformis,Cystoseira abies-marina,Cystoseira humilis,Fucus spiralis,Halopteris scoparia,Osmundea pinnatifida,Petalonia binghamiae,Porphyra umbilicalis,Pterocladiella capillacea,Sargassum vulgare,Ulva intestinalis,Ulva rigida,Zonaria tournefortii","Aquaculture,Wild harvesting",,,,,,,$0,
Seafields,UK,"Farming & harvesting,Applications",https://www.seafields.eco/,Sargassum sp.,"Aquaculture,Offshore",Carbon sequestration,,Crowdfunding,,2021,checked,"$693,000",Pilot / Demonstration
Seaflora,Canada,Applications,https://www.seafloraskincare.com/,,,Personal care,,,,,,$0,
Seaforestation,Philippines,"Infrastructure & equipment,Applications",https://sites.google.com/climatefoundation.org/seaforestationco/home,,Aquaculture,Plant & soil nutrition,,"Sustainable Ocean Alliance,Third Derivative",,2021,checked,$0,Pilot / Demonstration
Seaforester,Norway,Conservation & restoration,https://www.seaforester.org/,,,,,,,,,$0,
SeaGen (pivot),UK,Infrastructure & equipment,https://www.seagen.io/,,,,,"Aera VC,Graph Ventures,Crowdfunding",,2021,checked,"$1,570,000",Pivot away from seaweed
Seagold,Australia,"Farming & harvesting,Applications",https://www.seagold.com.au/,Macrocystis pyrifera,Wild harvesting,Plant & soil nutrition,,,,,,$0,
Seagreen Insights,USA,Multi-stakeholder platform,https://www.seagreeninsights.org/,,,,,,Growing the industry,2023,,$0,
Seagreens,UK,Farming & harvesting,https://www.seagreens.co.uk/,,Wild harvesting,Nutraceuticals,,,,,,$0,
Seagrove Kelp,USA,Farming & harvesting,https://seagrovekelp.com/,"Saccharina latissima,Alaria marginata,Nereocystis luetkeana","Aquaculture,Nearshore",,,,,,,$0,
Seagrown,UK,"Farming & harvesting,Infrastructure & equipment",https://www.seagrown.co.uk/,,Aquaculture,,,,,2018,,$0,
SeaH4,South Africa,"Farming & harvesting,Applications",http://www.seah4.co.za/,,"Aquaculture,Onshore",Energy,,Oceanhub Africa,,2021,checked,$0,Pilot / Demonstration
Seaherb,South Korea,Applications,https://www.seaherb.com/,,,Nutraceuticals,Fucoidans,,,,,$0,
SeaKITS,Philippines,Farming & harvesting,https://seakits.net/,"Eucheuma denticulatum,Kappaphycus alvarezii","Aquaculture,Nearshore",,,,,2024,checked,$0,Pilot / Demonstration
Seakura,Israel,"Farming & harvesting,Applications,Infrastructure & equipment",https://seakura.co.il/,"Ulva sp.,Gracilaria sp.","Aquaculture,Onshore",Bioremediation / wastewater treatment,,,,2014,checked,$0,Pilot / Demonstration
Sealac,Ireland,"Farming & harvesting,Applications",https://sealac.ie/,Ascophyllum nodosum,Wild harvesting,Feed,Livestock feed,,,2016,checked,$0,Scale-up / Industrialisation
Sealaria,Israel,"Applications,Farming & harvesting",https://sealaria.com/,Gracilaria sp.,"Aquaculture,Onshore","Personal care,Pharmaceuticals",,,,2015,checked,$0,Validation / Traction
Sealife Organics,Mauritius,"Farming & harvesting,Applications",https://www.linkedin.com/in/sealife-organics-2b185a209,Sargassum sp.,Wild harvesting,Plant & soil nutrition,,"Oceanhub Africa,ENL Agri,G.O.A.L.,Ingenia,JOG,Seed Capital",,,,"$436,000",
Seaman,Denmark,Applications,https://seamanchips.com/,,,Food,Snacks and seasoning,,,2017,checked,$0,Validation / Traction
Seamore,Netherlands,Applications,https://www.seamorefood.com/,,,Food,Snacks and seasoning,De Smaakspecialist,,2015,checked,$0,Acquired / Merged
SEAnnovation,Norway,Processing,,,,Hydrocolloids,"Biorefinery,Alginate",,,2024,,$0,
SEAO2,Australia,"Infrastructure & equipment,Consulting",http://seao2.com.au/,,,,,,,,,$0,
SEAQ CORPORATION,Spain,"Farming & harvesting,Applications",https://www.linkedin.com/company/seaq-corporation/,Lithothamnium sp.,Wild harvesting,Feed,,,,,,$0,
Seaquoia (California Seaweed Company),USA,Farming & harvesting,https://www.seaquoia.com/,,Wild harvesting,Food,,,,,,$0,
Searo Labs (prev. SoluBlue),UK,Applications,https://searo.co/,,,Bioplastics / biomaterials,,FoodLabs,,2018,checked,$0,Pilot / Demonstration
Seas of Norway (failed),Norway,"Infrastructure & equipment,Farming & harvesting",,Ulva sp.,Aquaculture,,,,,2018,checked,$0,Failed / Zombie
Seas the Opportunity,UK,Consulting,https://www.seastheopportunity.co.uk/,,,,,,,,,$0,
SeaSoaked Skin,USA,Applications,https://www.seasoakedskin.com/,,,Personal care,,,,2020,,$0,
Seasol,Australia,"Applications,Farming & harvesting",https://www.seasol.com.au/,Durvillaea potatorum,Wild harvesting,Plant & soil nutrition,,,,,,$0,
Seastem (failed),Switzerland,Processing,,,,,Whole-plant,Circular Economy Transition,,2021,checked,$0,Failed / Zombie
Seastock,Australia,"Farming & harvesting,Applications,Processing",https://www.seastock.com.au/,Asparagopsis sp.,Aquaculture,"""Pigments, inks, dyes, coatings"",Feed",Livestock methane reduction,MassChallenge,,2022,checked,$0,Pilot / Demonstration
Seatec Seaweed Technology EIRL,Peru,Farming & harvesting,https://www.facebook.com/info.seatec/,Chondracanthus chamissoi,Wild harvesting,,,,,,,$0,
SeatechEnergy,Netherlands,Infrastructure & equipment,https://seatechinnovation.com/,,,,,,,2016,checked,$0,Pilot / Demonstration
Seatrients,Sweden,Applications,https://www.seatrients.com/,Chondrus crispus,,Food,Drink,Blue Bio Value,,2020,,$0,
Seaveg,Ireland,Farming & harvesting,https://www.seaveg.co.uk/,"Chondrus sp.,Himanthalia sp.,Palmaria sp.,Saccharina sp.,Ulva sp.",Wild harvesting,Food,,,,,,$0,
SeaVite,Ireland,Applications,https://seavite.com/,,,Personal care,,,,,,$0,
Seaweed & Co,UK,"Farming & harvesting,Applications",https://www.seaweedandco.com/,Ascophyllum nodosum,Wild harvesting,Nutraceuticals,,,,2014,checked,$0,Scale-up / Industrialisation
Seaweed Agogo,UK,Applications,https://www.seaweedagogo.com/,,,Food,Snacks and seasoning,,,2020,checked,$0,Validation / Traction
Seaweed and beyond,Madagascar,Applications,https://www.seaweedandbeyond.com/lander,,,Plant & soil nutrition,,,,2024,,$0,
Seaweed Bath,USA,Applications,https://seaweedbathco.com/,,,Personal care,,,,,,$0,
Seaweed City,USA,Multi-stakeholder platform,https://seaweedcity.org/,,,,,,Growing the industry,,,$0,
Seaweed Commons,USA,Multi-stakeholder platform,https://seaweedcommons.org/,,,,,,Improving farmers' lives,,,$0,
Seaweed Concept,France,Processing,https://seaweedconcept.com/,,,"Plant & soil nutrition,Food,Feed,Bioplastics / biomaterials",Food ingredients,Blue Forward Fund,,2024,checked,"$2,100,000",Pilot / Demonstration
Seaweed Consulting,Brazil,"Consulting,Farming & harvesting",https://www.seaweedconsulting.com/,Kappaphycus alvarezii,Aquaculture,,,,,,,$0,
Seaweed Enterprises Australia (Seaperia),Australia,Applications,https://www.seaperia.com/,Ascophyllum nodosum,,"Plant & soil nutrition,Feed",,,,,,$0,
Seaweed Farming Scotland,UK,Farming & harvesting,https://www.seaweedfarmingscotland.com/,"Alaria esculenta,Saccharina latissima",Aquaculture,,,,,2019,,$0,
Seaweed Feed,South Korea,Applications,https://www.seaweed-feed.com/,,,Feed,Livestock methane reduction,,,2023,checked,$0,Research / product development
Seaweed Foam,Lithuania,Applications,https://www.seaweedfoam.com/,,,Bioplastics / biomaterials,,,,2022,checked,$0,Research / product development
Seaweed Food Solutions,Netherlands,"Processing,Applications",https://seaweedfoodsolutions.com/,,,Food,Whole-plant,,,,,$0,
Seaweed for Dogs,Ireland,Applications,https://seaweedfordogs.com/,Ascophyllum nodosum,,Feed,Pet food,,,,,$0,
Seaweed for Europe,UK,Multi-stakeholder platform,https://www.seaweedeurope.com/,,,,,,Growing the industry,,,$0,
Seaweed for the People,USA,Applications,https://seaweedforthepeople.com/,,,Food,,,,,,$0,
Seaweed Industry Association of the Philippines,Philippines,Multi-stakeholder platform,https://siap-seaweed.tripod.com/,,,,,,Producers association,,,$0,
Seaweed InnovLab (failed),Singapore,Breeding & propagation,,,,,,,,2021,checked,$0,Failed / Zombie
Seaweed Japan Co.,Japan,Applications,https://seaweed-japan.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Seaweed Organics (Diana Drummond) ,UK,"Applications,Farming & harvesting",https://dianadrummond.co.uk/,,Wild harvesting,,,,,,,$0,
Seaweed Place,Chile,"Farming & harvesting,Applications",https://www.seaweedplace.com/,Durvillaea antarctica,Wild harvesting,Food,,,,2016,,$0,
Seaweed Seychelles,Seychelles,"Farming & harvesting,Applications",https://seaweedseychelles.com/,Sargassum sp.,Wild harvesting,"Plant & soil nutrition,HABs",,,,2015,,$0,Validation / Traction
Seaweed Solutions,Norway,"Farming & harvesting,Applications,Infrastructure & equipment,Breeding & propagation",https://seaweedsolutions.com/,"Alaria esculenta,Saccharina latissima,Laminaria hyperborea,Palmaria palmata","Aquaculture,Offshore",,,"EASME - EU Executive Agency for SMEs,Innovation Norway,WWF",,2009,checked,"$4,700,000",Validation / Traction
Seaweed South Africa,South Africa,"Farming & harvesting,Applications",https://seaweedsouthafrica.com/,"Ulva uncialis,Ecklonia maxima,Porphyra capensis","Wild harvesting,Aquaculture",Food,,Bright Tide Ocean/Blue Carbon Accelerator,,2021,,$0,Research / product development
Seaweed&Friends,Sweden,Applications,https://seaweedbars.com/,,,Food,Snacks and seasoning,,,2020,,$0,
Seaweedland,Netherlands,Farming & harvesting,https://seaweedland.com/,"Palmaria sp.,Ulva lactuca,Asparagopsis armata","Aquaculture,Onshore",,,NOM,,2022,,$0,
SeaweedLink,Netherlands,Consulting,https://www.linkedin.com/company/seaweed-link/,,,,,,,2024,checked,$0,Pilot / Demonstration
Seaweeds NZ,New Zealand,Farming & harvesting,https://seaweedsnz.com/,,Wild harvesting,"Feed,Plant & soil nutrition",,,,,,$0,
SeaweedTech (merged w Dutch Seaweed Group),Netherlands,Farming & harvesting,,Ulva sp.,"Aquaculture,Onshore",,,,,2020,checked,$0,Acquired / Merged
Seaweedz Energy,India,"Applications,Farming & harvesting",https://www.linkedin.com/company/seaweedzenrgy,,Aquaculture,,,,,2023,checked,$0,Research / product development
SEAWISER,Netherlands,"Consulting,Breeding & propagation,Infrastructure & equipment,Research",https://www.seawiser.com/,,,,,,,2021,,$0,
Seawith,South Korea,Applications,https://seawith.net,,,Food,,"Korea Tech Incubator Program,Enlight Ventures,Bluepoint Partners",,2019,checked,"$6,250,000",Pilot / Demonstration
Seco SA,Chile,Applications,http://secosa.cl/,"Lessonia trabeculata,Gigartina skottsbergii,Gigartina chamissoi,Sarcothalia crispata,Iridaea laminaroides,Lessonia nigrescens,Durvillaea antarctica,Macrocystis integrifolia",Wild harvesting,,,,,,,$0,
SELT France Biotech (SELT Marine),France,"Farming & harvesting,Applications",https://seltmarinegroup.com/,"Gracilaria sp.,Gelidium sesquipedale,Kappaphycus alvarezii,Eucheuma denticulatum","Wild harvesting,Aquaculture",Hydrocolloids,"Agar,Carrageenan",,,1996,checked,"$6,200,000",Scale-up / Industrialisation
Sembilan Putra Jaya,Indonesia,Farming & harvesting,,"Kappaphycus alvarezii,Eucheuma denticulatum",,,,,,,,$0,
Seokha,South Korea,Applications,https://www.seokha.co.kr/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Seonjin Fisheries Association,South Korea,"Farming & harvesting,Applications",https://seonjinsea.modoo.at/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Setexam,Morocco,"Applications,Farming & harvesting",http://www.setexam.com/,Gelidium sesquipedale,Wild harvesting,Hydrocolloids,Agar,,,1960,checked,$0,Mature / Public
Seungdeok Fisheries Association,South Korea,Applications,https://www.jobkorea.co.kr/company/42769668,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Sewha Seafood,South Korea,Applications,https://sewhaseafood.com/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
SFTec,Finland,Processing,https://sftec.fi/tuotteet/modheat?lang=en,,,,Whole-plant,,,,,$0,Pilot / Demonstration
Shamrock Farm Enterprises,Ireland,Applications,https://www.shamrockfarmenterprises.com/,Lithothamnium calcareum,,Feed,Livestock feed,,,,,$0,
"Shandong Enbao Biological Technology Co., Ltd. (""Enbao"")",China,"Applications,Farming & harvesting",https://www.sdenbao.com/,Ulva intestinalis,,Plant & soil nutrition,Alginate,,,2008,,$0,
Shandong Gangyuan Marine Biological Engineering Co. Ltd.,China,Applications,https://discovery-patsnap-com.libproxy1.nus.edu.sg/company/shandong-gangyuan-marine-biological-engineering,,,,,,,2013,,$0,
"Shandong Haizhibao Ocean Technology Co., Ltd.",China,"Farming & harvesting,Applications",http://www.haizhibao.net/,Saccharina sp.,,Food,"Dried/raw seaweed,Snacks and seasoning",,,2008,,$0,
Shandong Jiejing Group,China,Applications,http://www.china-jiejing.com/,,,"Pharmaceuticals,Hydrocolloids,Plant & soil nutrition","Fucoidans,Alginate",,,1968,,$0,
Shandong Oriental Ocean Sci-Tech Co Ltd,China,Farming & harvesting,https://www.orientalocean.com/,,,,,,,,,$0,
"Shandong Sea Related Marine Biotechnology Co., Ltd.",China,Applications,http://www.shehaikeji.com/,,,"Bioplastics / biomaterials,Plant & soil nutrition",,,,,,$0,
"Shanghai Beilian Foodstuff Co., Ltd",China,"Farming & harvesting,Applications",https://www.21food.com/showroom/3187/aboutus/shanghai-beilian-foodstuff-co.-ltd..html,,,Hydrocolloids,Carrageenan,,,,,$0,
Shemberg,Philippines,Applications,https://www.shemberg.com.ph/,,,Hydrocolloids,Carrageenan,,,,,$0,
Shimauma Co.,Japan,Applications,http://www.shimauma.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Shimizu,Japan,Applications,https://shimizunori.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Shimizu Co.,Japan,Applications,https://www.kkshimizu.jp/index.html,,,Food,Dried/raw seaweed,,,,,$0,
Shinan1004,South Korea,Applications,https://shinan1004mall.kr/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Shinkyo,Japan,Applications,https://www.shinkyo-ind.co.jp/,Ascophyllum nodosum,,"Nutraceuticals,Feed,Plant & soil nutrition",,,,,,$0,
Shinnecock Kelp Farmers,USA,"Farming & harvesting,Breeding & propagation",https://www.shinnecockkelpfarmers.com/,,Aquaculture,,,,,2020,,$0,
Shirako,Japan,Applications,https://www.shirako-nori.co.jp/,Porphyra sp.,,,,,,,,$0,
Shirako Nori,Japan,Applications,https://www.shirako-nori.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Shore,UK,Applications,https://shoreseaweed.com/,,,Food,Snacks and seasoning,"The Scottish Investment Bank,Highlands and Islands Enterprise",,2014,checked,"$2,300,000",Validation / Traction
Shorefast,Canada,Multi-stakeholder platform,https://shorefast.org/,,,,,,Improving farmers' lives,,,$0,
ShunyTech,South Korea,Infrastructure & equipment,https://shuny.co.kr/,,,,,"Yuhan-Kimberly Green Impact Fund,Korea Venture Investment Corp.",,2023,checked,$0,Pilot / Demonstration
Simonds Consulting,USA,Consulting,https://www.jsimonds.com/about,,,,,,,,,$0,
Sinar Kentjana Surabaya,Indonesia,Applications,https://www.daftarperusahaan.com/bisnis/sinar-kencana-surabaya-pt,,Aquaculture,Hydrocolloids,Agar,,,,,$0,
Sink-It (pivot),Netherlands,Applications,https://www.sinkit.org/,Sargassum sp.,Wild harvesting,"Carbon sequestration,HABs",Biochar / hydrochar,,,2021,checked,$0,Pivot away from seaweed
Sirputis,Lithuania,Infrastructure & equipment,https://sirputis.com/,,,,,Valinor,,2019,checked,$0,Validation / Traction
Sita Verde / Suez,Guadeloupe,Applications,https://www.suez.fr/fr-fr/notre-offre/succes-commerciaux/nos-references/valorisation-des-sargasses,Sargassum sp.,,"HABs,Plant & soil nutrition,Energy",,,,,,$0,
Sitangkai Seaweeds Export Company,Philippines,Farming & harvesting,,,Aquaculture,,,,,,,$0,
SJØBJØRG AS,Norway,"Farming & harvesting,Applications",https://www.sjobjorg.com/,Ascophyllum nodosum,Wild harvesting,Nutraceuticals,,,,,,$0,
Sjøgård - the Sea Farm,Norway,Farming & harvesting,https://sjogaard.org/,,,,,,,,,$0,
Sjosaker (Tekslo Seafood),Norway,"Applications,Farming & harvesting",https://www.sjosaker.no/,"Laminaria hyperborea,Chondrus crispus,Himanthalia sp.,Palmaria sp.,Ulva lactuca,Alaria esculenta,Saccharina latissima,Ascophyllum nodosum",Wild harvesting,Food,"Snacks and seasoning,Seaweed added to traditional product","Crowdfunding,Connect BAN Bergen,Blue Bio Value",,2016,checked,"$1,255,000",Validation / Traction
Sjy Seaweed,Norway,Applications,https://www.sjyseaweed.no/,,,Food,Snacks and seasoning,,,2019,checked,$0,Validation / Traction
Smartfiber,Germany,Applications,https://smartfiber.de/,,,Textiles,,"EASME - EU Executive Agency for SMEs,ASICS",,2005,checked,$0,Scale-up / Industrialisation
Smithereen Farm,USA,Farming & harvesting,https://www.smithereenfarm.com/,,"Aquaculture,Wild harvesting",,,,,,,$0,
SMO Solar Process (zombie),Guadeloupe,"Processing,Applications",https://www.smosolarprocess.com/,Sargassum sp.,,"Plant & soil nutrition,Energy",Biorefinery,ZEBOX,,2020,checked,$0,Failed / Zombie
Snap Natural & Alginate Products,India,Applications,https://snapalginate.com/,"Sargassum sp.,Kappaphycus alvarezii,Turbinaria sp.","Wild harvesting,Aquaculture",Hydrocolloids,"Alginate,Carrageenan",,,1979,checked,$0,Mature / Public
SNP ,USA,Applications,https://www.snpinc.com/,,,Hydrocolloids,Alginate,,,1993,,$0,
Soarce,USA,Applications,https://www.soarceusa.com/,,,"""Pigments, inks, dyes, coatings""",,"Blue Action Accelerator,Founders Factory,Boost VC",,2017,checked,"$1,450,000",Validation / Traction
Sobigel,France,Applications,http://www.sobigel.com/,Gelidium sesquipedale,,Hydrocolloids,Agar,,,,,$0,
Softseaweed,Norway,Monitoring tech & software,https://softseaweed.com/,,,,,Katapult Ocean,,2021,checked,$0,Validation / Traction
Sollmar,Norway,Applications,https://www.sollmar.com/,Palmaria palmata,,Personal care,,,,,,$0,
Solrod Biogas,Denmark,Applications,https://solrodbiogas.dk/,,,Energy,Biofuel,,,,,$0,
SOS Biotech,Dominican Republic,"Applications,Processing",https://sosbiotech.co/,Sargassum sp.,,"Personal care,Plant & soil nutrition,Feed",,,,2024,checked,$0,Pilot / Demonstration
SOS Carbon ,Dominican Republic,"Farming & harvesting,Applications",https://soscarbon.com/,Sargassum sp.,Wild harvesting,HABs,,,,2020,checked,$0,Validation / Traction
South Coast Seaweed,Australia,Farming & harvesting,https://southcoastseaweed.com.au/,,Wild harvesting,,,,,,,$0,
South Fujian Agar Co.Ltd.,China,"Farming & harvesting,Applications",http://www.rosinnet.com/yellowpages/6892/,,,Hydrocolloids,Agar,,,,,$0,
Southeast Conference,USA,Multi-stakeholder platform,https://www.seconference.org/,,,,,,Growing the industry,,,$0,
Southern Ocean Carbon Company,Australia,Consulting,https://www.southernoceancarbon.com/,,Aquaculture,,,ADEC,,2020,,$0,
Southern Seagreens,Australia,"Farming & harvesting,Breeding & propagation",https://southernseagreens.com/,Undaria Pinnatifida,"Wild harvesting,Nearshore",,,,,2021,,$0,
Souto Ocean Culture,Sweden,Farming & harvesting,https://www.souto-ocean.com/,,,,,,,2022,,$0,
SOVALG,Madagascar,Farming & harvesting,,Kappaphycus alvarezii,"Aquaculture,Nearshore",,,,,,,$0,
sozyë (Cocofina),UK,Applications,https://sozye.com/,,,Food,Snacks and seasoning,,,2022,checked,$0,Validation / Traction
Spinnaker Sea Farms,USA,Farming & harvesting,https://www.spinnakerseafarms.com/,,"Aquaculture,IMTA,Nearshore",,,,,,,$0,
SPORA,Mexico,Conservation & restoration,https://news.ucsc.edu/2022/04/kelp-restoration.html,,,,,,,,,$0,
Springtide Innovations,USA,"Breeding & propagation,Infrastructure & equipment",https://www.springtideinnovations.com/,,,,,,,,,$0,
Springtide Seaweed,USA,Farming & harvesting,https://www.springtideseaweed.com/,,Aquaculture,,,,,2017,,$0,
Sri Gunting Pratama ,Indonesia,Applications,https://www.sriguntingpratama.com/,,Aquaculture,Hydrocolloids,,,,,,$0,
Srinivasa Marine Chemicals,India,Applications,https://in.kompass.com/c/srinivasa-marine-chemicals/in736083/,,,"Hydrocolloids,Plant & soil nutrition",Alginate,,,,,$0,
Stem Cell United (failed),Singapore,"Farming & harvesting,Applications",,Caulerpa lentillifera,"Aquaculture,Onshore",Food,,,,2015,checked,$0,Failed / Zombie
Stonington Kelp Co,USA,Farming & harvesting,https://www.stoningtonkelpco.com/,Saccharina latissima,Aquaculture,,,,,,,$0,
Storm Organic Plant Nutrition,Canada,"Applications,Farming & harvesting",https://www.stormplantfood.ca/,,Wild harvesting,Plant & soil nutrition,,,,2023,,$0,
STP Group,Vietnam,"Farming & harvesting,Infrastructure & equipment",https://stpgroup.com.vn/stp-invest-dau-tu-ben-vung-dau-tu-xanh/,Kappaphycus alvarezii,Aquaculture,,,,,,,$0,
Submariner Network,Germany,"Multi-stakeholder platform,Research",https://submariner-network.eu/,,,,,,Research platform,,,$0,
Suehiro Konbu Co.,Japan,Applications,http://www.yaya.co.jp/suehiro-konbu.htm,,,Food,Dried/raw seaweed,,,,,$0,
Suenaga Kaisan,Japan,Applications,http://www.suenaga.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Sung Gyung Food Co,South Korea,Applications,http://en.sgkim.co.kr/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Sunil Products,South Korea,Applications,https://www.sunil.kim/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Sunken Seaweed,USA,Farming & harvesting,https://www.sunkenseaweed.com/,"Ulva lactuca,Gracilaria sp.,Palmaria sp.,Macrocystis tenuifolia","Aquaculture,Onshore,Nearshore",Food,,,,2017,checked,$0,Validation / Traction
Sunshiki,Japan,"Farming & harvesting,Applications",https://www.sunshiki.com/,Asparagopsis sp.,,Feed,Livestock methane reduction,,,2024,checked,$0,Research / product development
Supercarb,USA,Applications,https://www.supercarb.tech/,,,Textiles,,,,2024,checked,$0,Pilot / Demonstration
Suralgas,Spain,Farming & harvesting,http://suralgas.com/,"Codium sp.,Gracilaria sp.,Ulva sp.",Wild harvesting,Food,,,,,,$0,
SUREAQUA,Norway,"Multi-stakeholder platform,Research",https://www.nordforsk.org/projects/nordic-centre-sustainable-and-resilient-aquatic-production-sureaqua-0,,,,,,Research platform,,,$0,
Surge Seaweed,USA,Farming & harvesting,https://surgeseaweed.com/,"Palmaria palmata,Ulva sp.,Caulerpa lentillifera,Undaria Pinnatifida,Gracilaria sp.","Aquaculture,Onshore",,,,,2021,checked,$0,Pilot / Demonstration
