,Scientific Name,Common name,Division,Micro/Macro,Color,Water type (marine/fresh/brackish/terrestrial),Geographic Positioning within Europe,Habitat,Invasive?,"Invasive information (where, how, strategies, etc.)",Water temperature for growth (C),Optimal water temperature for growth (C),Salinity for growth (PSU),Depth range (m),Is the algae facing changes with rising sea temp?,Unnamed: 15,Temperature tolerance,Thickness/size,Status (impacted by humans?),Already on the market?,Listed in EU Novel Food Catalogue,Food supplement at Union list of Novel Foods,"production cost (high or low and what does that mean, laborintensive, complex processing)",Can it be grown in a polyculture?,Where/how is it grown? lab/farm/wild,Growth rate + specify if in wild or cultivation (can be in terms of biomass yield) ,Harvesting/collection methods,Time of Harvest (incl # times a year),processing/extraction methods,Country (that uses the algae),Region in europe,Seaboard,Nutritional Profile,take up,of meavy metals (Y/N),Companies using the algae + their product,Industrial applications,Extracts,Agriculture,Art materials + cosmetics,Packaging + materials,Environment,Carrier of other organisms?,Human consumption,Medicinal,Risks + dangers,usage within agriculture + products,medicinal,Flavor/Diet,medicinal/health,Flavor/Diet.1,other,Additional properties,Unnamed: 53,Synonyms,Genus,Species
147,Plocamium cartilagineum,Cockscomb,Rhodophyta,Macro,red,marine,"British Isles including the Shetlands, Mediterranean, Azores, Portugal, Atlantic coast of Spain and France, Norway, Faroes, Iceland","On rocks and Laminaria hyperborea stipes, lower intertidal and subtidal",,,-20 to 10 °C,,30--38,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plocamium coccineum,Plocamium,cartilagineum
148,Polyides rotunda,Discoid fork weed,Rhodophyta,Macro,red,"marine, brackish",UK,"On rocks and stones in open sandy pools and runnels, lower intertidal and shallow subtidal, widely distributed, common; often in shell sand",no,,-16 to 8 °C,,25-35,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyides,rotunda
149,Porphyra dioica,"Black laver, sloke",Rhodophyta,Macro,red,marine,"Austria, France, Germany, Portugal (continental, Madeira and Azores Islands), Switzerland","grows on hard surfaces such as stones, rocks and piers and can survive being buried by sand for extended periods.",no,,-20 to 10 °C,15 °C,30-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porphyra,dioica
150,Porphyra linearis,"Laver, Winter laver",Rhodophyta,Macro,red,marine,"Ireland, Portugal, Scotland",Zone-forming (below) on rock in the upper intertidal and splash zone of semi-exposed and exposed shores,no,,-15 to 10 °C,,30-35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porphyra,linearis
151,Porphyra purpurea,Purple Laver,Rhodophyta,Macro,red,marine,"Austria, Channel Islands, France, Germany, Portugal, Switzerland",littoral,no,,-20 °C,,15-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,food supplement and consumption,,,,,,,,,,,,Porphyra,purpurea
152,Porphyra spp.,"Nori, Zicai, Kim, Purple laver/Laver bread",Rhodophyta,Macro,red,,"cultivated in East Asian countries such as China, Japan, and Korea",,,,,4 °C,,,,,,20-30cm,,,,,,,,,"harvested by hand (France), handpicked for high-end users such as restaurants in recent decades (Norway)",,,consumed in large quantities in south eastern countries,,,"contains various nutritional and biofunctional compounds, including proteins, minerals, dietary fiber, polyunsaturated fatty acids, carotenoids, saccharides, and mycosporine-like amino acids. compounds most abundant include polysaccharides and phycobiliproteins",,,,,,,,,,,,"demonstrates various immunomodulating, anticancer, antihyperlipidemic, and antioxidative activities. New source: pharmacological implications, including antioxidative, immunomodulatory, antihypertensive, anticoagulant, and anticancer properties",,,"demonstrates various immunomodulating, anticancer, antihyperlipidemic, and antioxidative activities. New source: pharmacological implications, including antioxidative, immunomodulatory, antihypertensive, anticoagulant, and anticancer properties","contains relatively high amounts of proteins, carbohydrates, and micronutrients",,,,,,,Porphyra,
153,Porphyra umbilicalis,"Black butter, tough laver",Rhodophyta,Macro,red,marine,"Austria, Belgium, France, Germany, Italy, Portugal, Switzerland, Channel Islands, UK, Ireland (Eire)","Generally on mussels, sometimes on rock; mid-intertidal to splash zone, exposed",no,,-15 to 5 °C,,30-35,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consumption and supplements,,,,,,,,,,,,Porphyra,umbilicalis
154,Porphyridium sp.,formerly known as P. cruentum,Rhodophyta,Micro,red,"marine, brackish, freshwater, terrestrial",,,,,,,,,,Some declines seen in seawater with increases in freshwater. Other research suggests it will thrive in warmer water.,,,,yes,,,"to extract astaxanthin, algae must be heated at 75C for 5 minutes, not as simple as some other algaes, for commerical production this is done through chemical synthesis",yes,,,,,"Common: centrifugation, membrane filtration, flocculation, and flotation. Also a newer three strep extraction process/method designed for high value products",globally used in food products (because the food products are all quite processed and use its coloring,,,high in protein and amino acids,Yes,heavy metal removal,Dalton Marine Cosmetics uses Porphyridium Cruentum in their red algae extract; IGVPlantTech uses P. purpureum in cosmetics,biofuels,,,,,,,,,,"Used primarily as food-coloring -- bubblegum, lollies, soft drinks, dairy products, wasabi. Used in cosmetics: the polysaccharides in the algae promote healthy skin and are reported to have a brightening and protective effect on the skin. Used as an additive for fish feed.","strong antioxidant properties due to its sulfated polysaccharides, helps to neutralize free radicals which slows the body's aging process and prevents cellular damage",,,,,,,,Porphyridium,
155,Postelsia palmaeformis,Sea Palm,Phaeophyta,Macro,brown,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P. palmiformis,Postelsia,palmaeformis
156,Pterocladiella capillacea,"Small agar weed, Branched wing weed",Rhodophyta,Macro,red,marine,"British Isles, Mediterranean, Atlantic coast of Spain and Portugal",large pools and lagoons in the lower intertidal and shallow subtidal,no,,-25 to 10 °C,,30-35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"used for consumption and as a food additive, but not on the food list",,,,,,,,,,,,Pterocladiella,capillacea
157,Pterocladiella spp.,,Rhodophyta,Macro,red,marine,"British Isles, Mediterranean, Atlantic coast of Spain and Portugal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pterocladiella,
158,Pyropia leucosticta,pale patch laver,Rhodophyta,Macro,red,marine,"British Isles, Mediterranean, Portugal, Spain, France, Netherlands, Baltic, Norway, Faroes, Iceland","epiphytic on larger algae, particularly Fucus serratus, mid-intetidal to shallow subtidal",no,,-15 to 10 °C,,30-35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neopyropia leucosticta,Porphyra leucosticta",Pyropia,leucosticta
159,Pyropia perforata,"red laver, purple laver",Rhodophyta,Macro,red,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoporphyra perforata,Porphyra perforata",Pyropia,perforata
160,Pyropia tenera,,Rhodophyta,Macro,red,marine,,"Inhabit rocks, and sometimes even settled on molluscs and on other seaweed species. It inhabits between the",no,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porphyria tenera,Pyropia,tenera
161,,,,,,,,"tide levels, midtidal to splash zone.It is generally abundant, especially on exposed coasts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Pyropia yezoensis,"zicai, open sea nori",Rhodophyta,Macro,red,marine,"France, possibly in the Mediterranean, Adriatic, and North Atlantic","upper intertidal zone of exposed coasts, rocky substrata",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neopyropia yezoensis,Porphyra yezoensis",Pyropia,yezoensis
163,Rhizoclonium riparium,Rooting green thread weed,Chlorophyta,Macro,green,"marine, brackish, freshwater","British Isles from the Shetlands to the Channel Islands, Portugal, Spain, France, Netherlands, Baltic Sea, Norway, Faroes, Jan Mayen and Bjornoya and Iceland","upper eulittoral, on shaded rock walls, often entangled with Bostrychia; also recorded from estuaries, where it forms loose mats or grows attached to floating structures",yes,reports of invasive behavior in Iceland,-20 to 5 °C,,0-38,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,Rhizoclonium,riparium
164,Rhodymenia pseudopalmata,"Dulse, Rosy fan weed",Rhodophyta,Macro,red,marine,"Ireland, Wales, Scotland, England, Portugal, Spain France","On rocks, shady pools, lower intertidal and subtidal (to ? m), also epiphytic on Laminaria hyperborea stipes",no,,-15 to 10 °C,,30-35,0 to 40 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,Rhodymenia,pseudopalmata
165,Saccharina japonica,Sweet kelp,Phaeophyta,Macro,brown,marine,"Austria, Belgium, France, Germany, Portugal, Switzerland, Italy",,"not native, vague info on invasiveness",,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,5% water:propylene glycol (50:50) extracts - Hydration [via moisturizer] with the alga extract increased by 14.44% compared with a placebo' fucoxanthin for skin whitening,,,,,,,,,,,,,,,Laminaria japonica,Saccharina,japonica
166,Saccharina latissima,"Sugar kelp, sweet kombu; Irish: Lásaí, Rufa, Rufaí, Fruill, Ribíní, Láin,",Phaeophyta,Macro,brown,marine,"widely distributed circumpolarly in the northern hemisphere - both sides of the Atlantic, some areas of Japan and Arctic Russia, approx half of global populations of Saccharina latissima is found along the coast of Norway; Faroe Islands",usually found from the sublittoral fringe down to a depth of 30 m. More rarely it occurs in rock pools. The species usually occurs in sheltered conditions and may attach to unstable substrata such as boulders and cobbles,no,,-15 to 5 °C,10 to 17 °C,30 to 35,1 to 15 m,yes,is predicted to be pushed out of the warm-temperate region of the North Atlantic due to global warming,populations in locations such as New York that experience more frequent increases of temperature (excess of 20C in New York) are more resilent compared to populations that rarely expereince temps exceeding 17C. New Source: temps up to 18-19C do not seem to affect negatively but >20C were detrimental,Maximum frond lengths varied between 15 and 100 cm. New source: up to 4m long,,yes,yes,,,yes,"Has been succesfully cultured in Europe and America. New source: commercial cultivation of S. latissima at sea- and land-based systems, mainly obtained through aquaculture in EU, less harvesting from wild stocks. New source: large-scale kelp production as part of IMTA (Denmark) with a much higher yield than wild harvest in reference location. New source: IMTA potential (consider the seasonal growth patterns)","high growth rate in North Atlantic waters (cultivation of this species has thus peen prioritized), biofouling decreased with increasing light (greater depth, more food particles in water) - some say cultivation of the algae in deeper waters may benifit cultivation due to decreased fouling, while others say increased food particles benifits cultivation moreso than the effects of biofouling. New source: grows fastest from late winter to spring at a rate of about 1.1 cm/day (up to 4.87 cm/day), growth declines from June onwards and may cease in late summer","can be grown commerically or partial harvest can be utilized, meaning that the plant can be trimmed and then grown further so that there can be more than one harvest per season. Typically, there can be a spring harvest and a late summer harvest, all from one seedling development.","Can be harvested more than once per season on the same seedling. New source: May-August. harvest time affects protein, ash, carbohydrate, and mineral compositions of seaweed (May was richer in proteins, ash iondine, iron, cartenoids and June specimens contained more carbohydrates). New source: Harvest August–September in order to achieve maximum biofiltration efficiency (including N and P in epiphytes). However, for human consumption, it is better to harvest in May when the seaweed is free of epiphytes.",Ensiling is a preservation method involving fermentation used but a study found that it affected the various components of the nutritional value. New source: blanching and boiling are effective methods for reducing iodine content on average 85% (cultivation depth didn't significantly affect this). New source: blanching at 45C removed iodine while retaining protein extraction yields and amino acid levels.,Very popular in Asia for food products. New source: eaten in Britain and Ireland and coastal western Europe; commercially cultivated in Denmark and Sweden,Northern and western Europe,"North Pacific, North Atlantic","* depends on the month of harvest. Generally, sugar kelp has a variety of nutrients like iodine, iron, calcium, magnesium, potassium, copper, folate, nickel, zinc, and vitamin K. For every 100g of dried kelp, there are 69g of carbohydrates and 10mg of protein.",Yes,"has a low intolerance to heavy metals, early lifestages are more intolerant",,,,additive in animal feed (used in powder form),,,,,"thickener + sweetener in food products, and in soups + salads etc","can improve thyroid health due to high iodine concentration, prevent anemia due to richness of iron, contorl diabetes because of vanadium, and even assist in weight management.",,"In powder form can be used as an additive in animal feed, has been known to limit toxin production of Alexandrium catanella in aquaculture settings","can improve thyroid health due to high iodine concentration, prevent anemia due to richness of iron, contorl diabetes because of vanadium, and even assist in weight management.","used in soups, salads, as a sweetnener or thickener in food products",,,,,,Laminaria saccharina,Saccharina,latissima
167,,Cupóg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Saccharina longicruris,broadleaf kelp,Phaeophyta,Macro,brown,marine,"austria, france, germany, switzerland",,no,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,yes and used as a food supplement but may not be on the list,,,,,,,,,,,Laminaria longicruris,Saccharina,longicruris
169,Saccorhiza polyschides,"Furbelows; Irish: Claíomh, Madra, Clabhthaí",Phaeophyta,Macro,brown,marine,"Cold Atlantic regions, Portugal, Spain, UK and Ireland",grows from extreme low water springs to a depth of 35 m. It normally attaches to rocks but is occasionally found loose-lying on small stones or shells. It can form dense stands in sheltered areas and can tolerate strong currents,no,,-24 to 3 °C,-15 to 10 °C,32-35,0 to 20 m,,,,,,,,,,,,,,,,Ireland,,,,,,,,,,,,,,yes,,,,,,,,,,,,Saccorhiza,polyschides
170,Saccorhiza spp.,,Phaeophyta,Macro,brown,marine,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,Saccorhiza,
171,Sargassum aquifolium,Binder’s sargassum weed,Phaeophyta,Macro,brown,marine,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,"S. echinocarpum,S. crassifolium",Sargassum,aquifolium
172,Sargassum fusiforme,gulfweed,Phaeophyta,Macro,brown,marine,"Austria, Belgium, France, Germany, Portugal, Switzerland",,no,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,fucosterol - inhibits metalloproteinase-1 expression,,,,consumed and used as a food supplement,cancer treatments in China,,,,,,,,,,Hizikia fusiforme,Sargassum,fusiforme
173,Sargassum muticum,"Japanese wireweed, wireweed; Irish: Feamainn sreangach",Phaeophyta,Macro,brown,"marine, brackish",Native region in SE Asia - but is invasive in occurs in a wider range.,"tide pools, subtidal reefs, rocky benches, pebbles, stones, shells, ropes, docks, and vessel hulls",Yes,"Spain, Pacific Coast of North America, North Sea, Portugal, and the Mediterranean",10 to 30 °C,15 °C,"20 to 30 (can tolerate hyposaline conditions, and brackish waters but reproduction is limited in brackish)",1 to 2 m,,,at 30C lower levels of biochemical components shown compared to optimal temps. New source: max temp 28C,,"Recent spread along european coastline northbound (from Portugal north to scandinavia/Norway + continues to spread. New source: Mexican + Carribean coasts have expereinced an aypical massive arrival of this species + have accumulated on the shores - triggering economic losses, public health problems, and ecosystem damaging near the coastline. Mechanical harvesting has been implemented ending in landfills. New source: large rafts of brown algae of the genus Sargassum have been observed, causing strandings in West Africa, throughout the Caribbean basin and the Gulf of Mexico (and france)",yes,,,,,cultivation on ropes at controlled depths (1-2m) in nurseries,,,highest alginate yield occurring May-June,"method of extraction (Microwave-Assisted Extraction and Enzyme Assisted Extraction). New source: Pressurized Liquid Extraction (PLE) can be employed with advantages for obtaining extracts rich in phenolic compounds, with high efficiency, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8064379/table/marinedrugs-19-00178-t004/?report=objectonly",,,,"high conc of phlorotannins. New source: resence of lipids, carbohydrates, proteins, and phenolic compounds. New source: Dry wieght - 5–7% moisture content, 24–31 % ash, 2.6–3.8 % lipids, 1.8–7.0 %, total carbohydrates, 3–11 % total proteins, 1.5–2.31 mgGAg−1 total phenolic compounds (TPC), 2.7–2.9 kcal g−1 calorific power, and metals such as As (30–146.3 ppm), Fe (16.5–45 ppm), P (197–472 ppm). New source: in a study, samples from Norway had the highest concentration of phlorotannins (amount different locations along the atlantic coast)",,,,"corrosion inhibitor for carbon steel in hydrochloric acid environments, New source: has been studied for its potential as a raw material for energy production through anaerobic digestion, specifically for the production of methane gas (using stranded or harvested seaweed)","Fucoidans, Alginate, Glucuronic acid, Mannuronic acid, Laminarin, α -Linolenic acid, Fucoxanthin, α, γ-tocopherol, Hydroxybenzoic acid, Gallic acid, Vanillic acid, Protocatechuic acid, Caffeic acid, Syringic acid, Chlorogenic acid, Coumaric acid, Phlorotannins, Fuhalols, Phlorethols, Hydroxyfuhalols, Monofuhalol A, Tetrapernyltaluquinol meroterpenoid with a chrome moiety","potential as a cultivation crop, with optimal growth achieved by using jute as a substrate. New source: feed additative with antioxidant effects",,,,,"food with antioxidant effects, food additive","In a study, the extract demonstrated antiproliferative and antiangiogenesis effects on breast cancer cell lines. New source: demonstrated anti-proliferative activity against colon cancer cells, Alginate obtained from S. muticum has been demonstrated to possess anticancer properties, stimulating cell death in A549 cells (epithelial lung adenocarcinoma), PSN1 cells (pancreatic adenocarcinoma), HCT- 116 cells (colon carcinoma), and T98G cells (glioblastoma)",,"corrosion inhibitor for carbon steel in hydrochloric acid environments, New source: potential as a cultivation crop, with optimal growth achieved by using jute as a substrate. New source: has been studied for its potential as a raw material for energy production through anaerobic digestion, specifically for the production of methane gas (using stranded or harvested seaweed)","In a study, the extract demonstrated antiproliferative and antiangiogenesis effects on breast cancer cell lines. New source: demonstrated anti-proliferative activity against colon cancer cells",food or feed additative with antioxidant effects,,,,,,,Sargassum,muticum
174,Sargassum spp.,,Phaeophyta,Macro,brown,"marine, brackish","Ireland, Portugal",,,,,,,,,,,,,,,,,,,,,,alginate extraction,,,,,,,S. fulvellum extract used in Amorepacific Co.'s products,,,,fucoxanthin - protective effect on UV-B induced cell damage,,,,yes,cancer treatments in China,,,,,,,,,,,Sargassum,
175,Sargassum vulgare,,Phaeophyta,Macro,brown,marine,"Croatia, France, Greece, Italy, Monaco, Spain, Turkey",,no,,,,,0 to 2 m,yes,"ocean acidification increases extract bioactivity such as antioxidant, antimicrobial, and anti-cancer activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,Sargassum,vulgare
176,Scenedesmus quadricauda,grass-green algae,Chlorophyta,Micro,green,freshwater,"Baltic Sea, Belgium, North Sea, Sweden",,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,used as a food supplement in Europe but not on the novel foods list,,,,,,,,,,,Desmodesmus communis,Scenedesmus,quadricauda
177,Scenedesmus sp.,,Chlorophyta,Micro,green,"freshwater, brackish",Found in freshwater and sometimes brackish habitats,,,,,,,,,tolerant of high CO2,,,,yes,,,,yes,,,,,"In Spain, they are rapidly growing Scenedesmus almeriensis using raceway reactors inside a greenhouse",,,,,Potentially,"Has potential, but not yet explored",,,,,,,,,,,,"lipid and pigment production, wastewater treatment","treatment of gastric ulcers, wounds, and constipation",,,,,,,,Scenedesmus,
178,Scenedesmus vacuolatus,,Chlorophyta,Micro,green,freshwater,"Austria, France, Germany, Switzerland",,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,used as a food supplement,,,,,,,,,,,,Scenedesmus,vacuolatus
179,Schizochytrium spp.,,,Micro,brown,marine,"Austria, France, Germany, Switzerland",,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,algal oil,,,,,,,,,,,,,,,,,,Schizochytrium,
180,Schizymenia dubyi,starry liver weed,,Macro,red,marine,Portugal and western europe,"mid-intertidal, large pools and the shallow subtidal",native range is unclear,,-20 to 10 °C,,30-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,Schizymenia,dubyi
181,Scytosiphon lomentaria,beanweed,Phaeophyta,Macro,brown,marine,"UK, Ireland, France","most common in upper-shore pools growing on limpets; on rock on wave-exposed shores, where another, more rare entity, Scytosiphon dotyi occurs",no,,-20 to 5 °C,,4--40,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,Scytosiphon,lomentaria
182,Solieriaceae spp.,Carrageenan,Rhodophyta,Macro,red,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,is said to be used as a food additive but not on the food list,,,,,,,,,,,Solieria spp.,Solieriaceae,
183,Spongomorpha aeruginosa,Spongy Weed,Chlorophyta,Macro,green,marine,UK,"found in spring and early summer as epiphytes on cylindrical, branched red algae such as Furcellaria lumbricalis, Polyides rotundus and Chondracanthus acicularis in spring (February-May), on lower-shore rocks",no,,-15 to 5 °C,,5--35,0 to 20 m,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,Spongomorpha,aeruginosa
184,Tetradesmus obliquus,,Chlorophyta,Micro,green,freshwater,Germany,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,used as a food supplement in Europe but not on the novel foods list,,,,,,,,,,,,Tetradesmus,obliquus
185,Tetraselmis chuii (NFR),,Chlorophyta,Micro,green,marine,"France, Portugal, Spain",,,,,,,,,,,,,,,"yes, dried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetraselmis,chuii (NFR)
186,Tetraselmis sp.,,Chlorophyta,Micro,green,"marine, brackish, freshwater","Found in all sorts of environments, even some terrestrial ones, mainly in water based environments all over the world. Can withstand extremely high salinity.",,,,,,Can withstand extremely high salinity.,,,growth rate increases significantly with warming water and increased nitrate concentration,,,,yes,,,,yes,,,can be reharvested every week or so (rapid regrowth),year round,,Central American countries use for feedstock,,,"high protein, amino acid, lipid, and Vitamin E content",Yes,This is what it is most useful for.,,,,,,,,,,,,"The extract is used in cosmetics for its antioxidant, soothing, regenerative and tissue repair activities. Also wide array of uses in aquaculture and biotechnology due to its nutritional benefits.","rich in vitamin E, carotenoids, chlorophyll and tocopherols, with anti-inflammatory and regenerative properties.",,,,,,,,Tetraselmis,
187,Thalassiosira spp.,,Bacillarriophyta,Micro,brown,"marine, brackish, freshwater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thalassiosira,
188,Tisochrysis lutea,ochre algae,,Micro,golden brown,marine,French polynesia (likely does not occur in Europe),"coastal, littoral",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tisochrysis,lutea
189,Treptacantha barbata (Cystoseira barbata),,Phaeophyta,Macro,brown,marine,"Bulagria and Ukraine, Mediterranean","shallow, sheltered coasts and lagoons",,,-20 to 15 °C,,15-20,0 to 20 m,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Food additive in the medical treatment of oncological patients,,,,,,,,,,,Treptacantha,barbata (Cystoseira barbata)
190,Ulkenia spp.,,,Micro,brown,marine,"Austria, France, Germany, Switzerland",,,,,,,,,,,,,yes,"yes, as Algal Oil",,,,,,,,,,,,,,,,,algal oil,,,,,,used a as a food supplement but not listed as one in the food catalogue,,,,,,,,,,,,Ulkenia,
191,Ulva intestinalis,gutweed,Chlorophyta,Macro,green,"marine, brackish, freshwater","UK and Ireland, France, Portugal, Spain","Occurs in a wide range of habitats on all levels of the shore. Where suitable support is available, it will grow on rocks, mud, sand and in rock pools",no,,-25 to 15 °C,,Mar-34,0 to 9 m,,,,,,yes,,,,,,,,,,,,,,,,,Green synthesis of gold nanoparticles (Parial et al. 2012),,,,,,,used as a food supplement in Europe but not on the novel foods list,,,,,,,,,,,,Ulva,intestinalis
192,Ulva lactuca,Sea Lettuce or Sea Salad or Atlantic Wakame,Chlorophyta,Macro,green,"marine, freshwater","barents sea, western europe, UK and Ireland, Belgium, Denmark, France, Italy, Norway","On rock and in lower-shore rock pools, and in the shallow subtidal",no,,-26 to 14 °C,18 °C,<0.5 to 49,0 to 0.5 m,,,30C was lethal to species. New source: max temp 25C of species in same genus (Ulva fenestrata). New source: photosynthesis at 0 to 28C (temp range for survival),leaves are one to two cells thick,"green tides from human activities, native in many european countries",yes,yes,,"high cost for abtaining bioethanol compared to cane sugar etc. (1), fast growing",yes,industrial/artificial production (biorefinery) more feasible than wild collection,"more total wild collection than aquaculture (217 > 50 tonnes)(FAO 2022 data), New woruce: growth rate of up to 0.95 ± 0.54% day","washing up on beaches from green tides (easy because available, easily contaminated by sand + pollutants), they grow at a depth of 0-50cm. New source: harvested by hand (France), harvested manually from shore, on foot, during low tides or from vessels by diving (Atlantic coast of Spain), handpicked for high-end users such as restaurants in recent decades (Norway), Mechanical harvesting of Ulva sp. Green tides is being developed, cultivated on land-based tanks. New source: High potential for offshore aquaculture in Netherlands - native (growth season restricted to summer)","all year, largest blooms in summer so late summer/fall harvests (august, sept, oct)","pre-treatment and/or saccharification and fermentation to be converted in bioethanol, Ulva extraction with a high yield from hot water and pressurized conditions, biorefinery (1)","Great Britain, Ireland, Scandinavian Countries, China, Japan",Northern Europe,,"green algae has lower phenol content than brown (1) rich in iodine, vitamin a, vitamin b, vitamin c",Yes,"Yes, concentration is under reg limits (1)",,biofuel,extraction of carrageenans,"animal feed, enhanced vegatative growth even under drought stress, IMTA systems",protect cosmetics from oxidation,,,,"commonly consumed + used in manufactured food products, used as a food supplement but not on the union list as a food supplement","sulfonic acids, sulphated l-rhamnose, xylose and glucose (anti-viral, anti-tumour, anti-coagulant, anti-lipidique, hepato protective, immuno-stimulating, anti-depressant and anti-anxiolytic activities) (1), decrease risk of coronary disease, treat neurological disorders",,"food (human + animal), biofuel, integrated multitropic aquaculutre systems, agriculutre - enhanced vegetative growth even under drought stress, protect cosmetics from oxidation (1). New source: used for the extraction of carrageenans (Atlantic coast of Spain)","sulfonic acids, sulphated l-rhamnose, xylose and glucose (anti-viral, anti-tumour, anti-coagulant, anti-lipidique, hepato protective, immuno-stimulating, anti-depressant and anti-anxiolytic activities) (1), decrease risk of coronary disease, treat neurological disorders","commonly consumed, used in manufactured food products (ice cream, for example",,,,"thermos reversible gels, carbohydrates can be a carbon source for microbial production of biomaterials (emerging market)",,,Ulva,lactuca
193,Ulva linza,Doubled ribbon weed,Chlorophyta,Macro,green,marine,Scotland,"Rock pools and growing on shells in damp depressions in the mid and lower intertidal, particularly in places affected by sand",no,,-25 to 5 °C,,20--25,0 to 10 m,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,Ulva,linza
194,Ulva rigida,,Chlorophyta,Macro,green,"marine, brackish","Mediterranean basin, Portugal, Spain","intertidal rocks, in tidepools, and on reef flats. Often abundant in areas of fresh water runoff high in nutrients such as near the mouths of streams and run-off pipes",no,,-30 to 5 °C,,15-35,0 to 20 m,,,,45cm long,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,Ulva,rigida
195,Ulva spp.,Green algae,Chlorophyta,Macro,green,"marine, brackish, freshwater",,,,,,,euryhaline,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,has been known to hinder growth and toxin production of Alexandrium catenella,,,,,,,,Enteromorpha spp.,Ulva,
196,Undaria pinnatifida,"asian kelp, wakame",Phaeophyta,Macro,brown,marine,"Western Europe, Austria, UK and Ireland, Belgium, France, Germany, Italy, Portugal, Spain","stable rocky reefs, mobile cobble habitats, and mudstone",yes,spain and europe,-25 to 10 °C,,30-35,0 to 3 m,,,,,,yes,,"yes, fucoidan extract",,,,,,,,,,,,,,"Amorepacific uses extract from this alga in its skincare to even skin tone, combat skin aging, and enhancing elasticity",,,animal feed,,,,,yes,,,,,,,,,,,,Undaria,pinnatifida
197,Undaria undarioides,"Hiromi, Wakame",Phaeophyta,Macro,brown,marine,,,possibly,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undaria,undarioides
198,Vertebrata lanosa,"Truffle seaweed, Olann Dhearg (Irish)",Rhodophyta,Macro,red,marine,"Ireland, Scotland, Norway",hemiparasite of Ascophyllum nodosum,no,,-15 to 5 °C,,25-35,0 to 10 m,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,used as a food supplement,,,,,,,,,,,Polysiphonia lanosa,Vertebrata,lanosa
